Company,Brief Description,Protein Category,Company Focus,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Province,State,City,Website,Year Founded,Founders,Logo
ClearMeat,"India-based startup working on cultivated meat

",Cultivated,Meat,"End product formulation and manufacturing,Bioprocess design",Ground meat,Beef/veal,,Asia Pacific,India ,,Delhi,http://www.clearmeat.com/,2018,"Pawan K Dhar, Siddharth Manvati",ClearMeat-logo_0.png (https://dl.airtable.com/.attachments/72b3b5545c671f37a6e787d02f8ea83e/dee79625/ClearMeat-logo_0.png)
Finless Foods,U.S.-based company working on plant-based fish and cultivated blue fin tuna,"Cultivated,Plant-based","Meat,Seafood","Cell culture media,End product formulation and manufacturing",Whole muscle meat,Fish,,U.S. and Canada,United States,California,San Francisco,https://finlessfoods.com/,2016,"Mike Selden, Brian Wyrwas",Capture.JPG (https://dl.airtable.com/.attachments/a9daa35f9bcf09b2e851782ec4bfb83c/c7c04c39/Capture.JPG)
Peace of Meat,Germany-based company producing and supplying cultured fat as a tasty and texturing ingredient,Cultivated,Meat,Ingredient optimization,Ground meat,Beef/veal,,Europe,Germany,,Berlin,http://peace-of-meat.com/,2019,"Dirk von Heinrichshorst, David Brandes, Eva Sommer",hhrl0pmvbiasyefhaefq.png (https://dl.airtable.com/.attachments/b1cff4dcb78c2d1db20866c70337e57f/cd287e9c/hhrl0pmvbiasyefhaefq.png)
Upside Foods ,"U.S.-based cultivated meat startup producing beef, duck, and chicken product prototypes ",Cultivated,Meat,"Cell line development,End product formulation and manufacturing",,"Duck,Beef/veal,Chicken",,U.S. and Canada,United States,CA,San Leandro,http://www.memphismeats.com/,2015,"Uma Valeti, Nicholas Genovese, Will Clem",Horizontal_Black.png (https://dl.airtable.com/.attachments/f980553afd7a3333351085ab99b9d7fe/fa71f9b8/Horizontal_Black.png)
Aleph Farms,Israel-based company producing cultivated beef steak,Cultivated,Meat,"End product formulation and manufacturing,Scaffolding and structure","Ground meat,Whole muscle meat",Beef/veal,,Africa/Middle East,Israel,,Rehovot,https://www.aleph-farms.com/,2017,"Didier Toubia, Prof. Shulamit Levenberg",fwhce84ehyiy1hxs6qro.png (https://dl.airtable.com/.attachments/1def1d73585e90a4b164fd7503416b6f/1fdce492/fwhce84ehyiy1hxs6qro.png)
Dragonfly,"Produces organic tofu, tofu burgers and soy sausages. ",Plant-based,Meat,End product formulation and manufacturing,Ground meat,Beef/veal,Soy,Europe,United Kingdom,N/A,Buckfastleigh,http://dragonflyfoods.com/,1984,"Sue Harker, Sarah Budd",LOGO-1@2x.png (https://dl.airtable.com/.attachments/6edc187752a777ca2af863e69dfc0236/f136f814/LOGO-12x.png)
Matrix F.T. ,Startup making 3D nanofiber tubes for cultivated meat production,Cultivated,Meat,Scaffolding and structure,,,,U.S. and Canada,United States,Ohio,Columbus,https://www.matrixmeats.com/,2019,Flavio Lobato,MATRIXFT_Logo.jpeg (https://dl.airtable.com/.attachments/a13e6035e1f6d244401a6d2f295b8bc7/dccb55c4/MATRIXFT_Logo.jpeg)
Shiok Meats,"Singapore-based company producing cultivated seafood, including crustaceans like shrimps, crabs, and lobsters",Cultivated,"Meat,Seafood",End product formulation and manufacturing,Whole muscle meat,"Fish,Shellfish",,Asia Pacific,Singapore,,Singapore,https://shiokmeats.com/,2018,"Sandhya Sriram, Ka Yi Ling",Screen Shot 2021-02-08 at 2_19_19 PM.png (https://dl.airtable.com/.attachments/03897705cd15bf4cb850edf49bf9bec1/c45c1a08/ScreenShot2021-02-08at2_19_19PM.png)
Mzansi Meat Co,South Africa-based startup working on cultivated beef and chicken,Cultivated,Meat,"Cell culture media,End product formulation and manufacturing",Whole muscle meat,"Beef/veal,Chicken",,Africa/Middle East,South Africa,,Johannesburg,http://mzansimeat.co/,2020,"Jay Van Der Walt, Brett Thompson",Mzansi-Meat-Co-Logo-Dark-Transparent.png (https://dl.airtable.com/.attachments/462b1795f1f6ec0dc28df43be6fd072c/caf2f5b2/Mzansi-Meat-Co-Logo-Dark-Transparent.png)
Vivera,"Over 40 varieties of plant-based meat, including plant-based steak which is sold at Tesco.",Plant-based,Meat,End product formulation and manufacturing,Ground meat,,Soy,Europe,Netherlands,N/A,Holten,https://vivera.com/,1990,Alfredo Pina,Screen Shot 2021-01-08 at 9_26_07 PM.png (https://dl.airtable.com/.attachments/b405fd370213d0f81a286a6dea70ac3c/71ccb876/ScreenShot2021-01-08at9_26_07PM.png)
GOURMEY - Suprême SAS,"France-based company producing  restaurant-grade meats directly from animal cells, starting with cultivated foie gras",Cultivated,Meat,End product formulation and manufacturing,Other meat,Duck,,Europe,France,,Paris,https://gourmey.com/welcome,2019,"Nicolas Morin-Forest, Antoine Davydoff, Victor Sayous",Gourmey_Logo_Grey_Yellow-01.png (https://dl.airtable.com/.attachments/1d1d5e33c61502822688e42fc992d508/92b61eef/Gourmey_Logo_Grey_Yellow-01.png)
MeaTech,Israel-based company producing 3D printed cultivated meat,Cultivated,Meat,"Scaffolding and structure,End product formulation and manufacturing",,,,Africa/Middle East,Israel,,Ness Ziona,http://www.meatech3d.com/,2019,,Meatech-menu-logo-02.png (https://dl.airtable.com/.attachments/89a600735b0c08eedca576d2a264c63b/69d3bfea/Meatech-menu-logo-02.png)
TurtleTree Labs,Singapore-based company producing cultivated dairy products ,Cultivated,Dairy,"Cell culture media,Cell line development,End product formulation and manufacturing",Milk,,,"Asia Pacific,U.S. and Canada",Singapore,,Singapore,https://turtletreelabs.com/,2019,"Fengru Lin, Mkulima Britt, Max Rye",ftLogo.png (https://dl.airtable.com/.attachments/98f46b3afd3372867825a7a34245bdd1/7423f7f0/ftLogo.png)
Innocent Meat,"Germany-based company providing meat processors with an automated end-to-end clean meat production system, allowing producers of conventional meat to update supply chain and produce cultivated meat",Cultivated,Meat,Bioprocess design,Ground meat,,,Europe,Germany,,Rostock,http://www.innocent-meat.com/,2018,"Laura Gertenbach, Philipp Wolters",knst27jsbrv16robppeu.png (https://dl.airtable.com/.attachments/089e485c72d41ec988a9aec41e5dba83/247c3b2f/knst27jsbrv16robppeu.png)
Mission Barns,"U.S.-based startup working on cultivated meat, currently offering Kosher Bacon",Cultivated,Meat,End product formulation and manufacturing,Whole muscle meat,Pork,,U.S. and Canada,United States,California,San Francisco,https://www.missionbarns.com/,2018,"Eitan Fischer, David Bowman",Capture.JPG (https://dl.airtable.com/.attachments/01d2d7f56122ced393a5d66b0528be30/67c728cb/Capture.JPG)
Cultured Decadence,"U.S.-based company developing novel methods to make crustacean products using cell culture, acquired by Upside Foods in 2022",Cultivated,"Meat,Seafood","Cell culture media,End product formulation and manufacturing",,"Fish,Shellfish",,U.S. and Canada,United States,Wisconsin,Madison,https://www.cultureddecadence.com/,2020,"John Pattison, Ian Johnson",download.jpg (https://dl.airtable.com/.attachments/dc3f545647b97a7f5ba5435b0412bd4f/5eaaa507/download.jpg)
Fork & Goode,U.S.-based startup working on cultivated meat,Cultivated,Meat,End product formulation and manufacturing,Whole muscle meat,,,U.S. and Canada,United States,New York,New York,https://www.forkandgoode.com/,2018,"Niya Gupta, Gabor Forgacs",Capture.JPG (https://dl.airtable.com/.attachments/d873703bd9d72303549888ceef232e59/2f9b8cb2/Capture.JPG)
IntegriCulture,Japan-based startup working on cultivated meat and leading an open-source movement,Cultivated,Meat,"Cell culture media,Cell line development,Bioprocess design",,,,Asia Pacific,Japan,,Tokyo,http://integriculture.jp/?lang=en,2015,Yuki Hanyu,logo_text.png (https://dl.airtable.com/.attachments/c55edce3ec7d7524da70e4c7fedad4d9/b3dde00a/logo_text.png)
Higher Steaks,U.K.-based startup working on cultivated meat,Cultivated,Meat,End product formulation and manufacturing,Ground meat,Beef/veal,,Europe,United Kingdom,,London,https://www.highersteaks.com/,2018,"Benjamina Bollag, Stephanie Wallis",higher_steaks_periodic.jpg (https://dl.airtable.com/.attachments/cccd9c91dec37602fbe67fe33792c50b/cf136a10/higher_steaks_periodic.jpg)
Heuros,Australia-based company working on producing media and bioreactors to supply cultivated meat companies and interested research institutions,Cultivated,Meat,"Cell culture media,Bioprocess design",Ground meat,Beef/veal,,Asia Pacific,Australia,Queensland,Brisbane,https://www.heuros.com/,2017,"Nick Beaumont, Jordan Sosnowski",download (5).png (https://dl.airtable.com/.attachments/55bc4f4adcdaa508c1d13d91ddd415da/4e4328df/download5.png)
Meatable,Denmark-based company producing cultivated meat products,Cultivated,Meat,End product formulation and manufacturing,,,,Europe,Netherlands,,Leiden,https://www.meatable.com/,2018,"Krijn de Nood, Daan Luining",Capture.JPG (https://dl.airtable.com/.attachments/e03121d3ed5f635fe16474197654cec6/d30b23f9/Capture.JPG)
Mirai Foods AG (fmr. AlphaMeats),Switzerland-based company producing cultivated meat products ,Cultivated,Meat,End product formulation and manufacturing,Ground meat,Beef/veal,,Europe,Switzerland,,Zürich Area,http://alphameats.com,2019,"Christoph Mayr, Suman Kumar Das",01.jpg (https://dl.airtable.com/.attachments/a9036b19f0aa04d7d1f644b8b67c7c6a/e67bb739/01.jpg)
VOW Food,"Australia-based cultivated meat startup working growing unconventional and exotic animal meats (i.e. kangaroo, zebra, tortoise)",Cultivated,Meat,"Cell line development,Cell culture media,End product formulation and manufacturing",Whole muscle meat,Other,,Asia Pacific,Australia,New South Wales,Sydney,https://www.vowfood.com/,2019,"George Peppou, Tim Noakesmith",5ece22fb94d2b6f9f63256a6_Website Mark-p-500.png (https://dl.airtable.com/.attachments/21671d15b503f4769a3d7bc1c3a76f79/54526fa5/5ece22fb94d2b6f9f63256a6_WebsiteMark-p-500.png)
Eggless,"Produces eggless mayos, soy and pea varieties are available. ",Plant-based,Eggs,End product formulation and manufacturing,Other,,"Soy,Pea",Latin America,Chile,N/A,Santiago,http://www.eggless.cl/,2011,Matias Muchnick,Capture.JPG (https://dl.airtable.com/.attachments/41bf9a52299e09a5485d50124b313c3c/22362dbd/Capture.JPG)
"Eat Just, Inc. ","U.S.-based company with a plant-based egg brand called JUST Egg and a cultivated meat subsidiary called GOOD Meat, with plant-based products including liquid egg, folded egg and sous vide egg bites and cultivated meat products including chicken.  ","Plant-based,Cultivated","Meat,Eggs,Dairy",End product formulation and manufacturing,"Eggs,Whole muscle meat",Chicken,Mung Bean,U.S. and Canada,United States,California,San Francisco,"https://www.ju.st 
https://goodmeat.co",2011,"Josh Tetrick, Josh Balk",eib38f3x2wa0tlig29wf.png (https://dl.airtable.com/.attachments/eee91bcb73ab2dd3999f1f598b95d311/9f65128f/eib38f3x2wa0tlig29wf.png)
Cubiq Foods,"Spain-based startup working on cultivated fat, also developing cell-based omega-3",Cultivated,Meat,Ingredient optimization,,,,Europe,Spain,,Barcelona,http://www.cubiqfoods.com/,2018,"Andrés Montefeltro, Raquel Revilla",hma3ityiuibmt9cl47oq.jpg (https://dl.airtable.com/.attachments/91a41bc1f04dad9ff2603bb12718d238/190cafef/hma3ityiuibmt9cl47oq.jpg)
Gosh!,"Produces plant-based burgers, bites, and sausages.",Plant-based,Meat,End product formulation and manufacturing,"Ground meat,Other meat","Beef/veal,Chicken","Chickpea,Mushrooms",Europe,United Kingdom,N/A,London,https://www.goshfood.com/,2002,Jane Rayner,Screen Shot 2021-02-08 at 3_35_34 PM.png (https://dl.airtable.com/.attachments/c06e89a268298902e711f1864393868a/a7972894/ScreenShot2021-02-08at3_35_34PM.png)
SuperMeat,Israel-based company developing cultivated chicken,Cultivated,Meat,End product formulation and manufacturing,Whole muscle meat,Chicken,,Africa/Middle East,Israel,"Rehovot, Israel","Rehovot, Israel",https://www.supermeat.com/,2015,"Ido Savir, Koby Barak, Shir Friedman",Screen Shot 2021-02-08 at 3_41_44 PM.png (https://dl.airtable.com/.attachments/8ba7f89616ba25a49878e9af262688f1/e3a53144/ScreenShot2021-02-08at3_41_44PM.png)
Future Meat Technologies,"Israel-based startup working on cultivated meat products, such as chicken kebab, using muscle and fat production and media recycling",Cultivated,Meat,"Cell line development,Scaffolding and structure",Whole muscle meat,,,Africa/Middle East,Israel,,Jerusalem,https://www.future-meat.com/,2017,Yaakov Nahmias,logo.svg (https://dl.airtable.com/.attachments/94f6dc4f6f651e4bc4eb97cfeb17fa0b/7ba6f911/logo.svg)
